Sector,Ticket type,Year,Fare_Index,YoY_Change,Cumulative_Inflation
All operators,Season,2019,173.398229701944,2.7932290136902136,73.39822970194399
All operators,Season,2020,178.116757141671,2.721208542807927,78.116757141671
All operators,Season,2021,182.403097905305,2.406478105945259,82.403097905305
All operators,Season,2022,188.842552238836,3.530342635339476,88.84255223883599
All operators,Season,2023,199.44226891034344,5.612991640836122,99.44226891034344
All operators,Season,2024,209.37441749364208,4.979961688945438,109.37441749364208
All operators,Season,2025,218.36821769935668,4.295558317666818,118.36821769935668
All operators,Super Off Peak,2004,100,NA,0
All operators,Super Off Peak,2005,104.761904263999,4.761904263999,4.761904263999
All operators,Super Off Peak,2006,108.677226034835,3.7373526171970184,8.677226034835002
All operators,Super Off Peak,2007,113.517735014072,4.454023309065177,13.517735014072002
All operators,Super Off Peak,2008,122.648219461604,8.043222890590757,22.648219461604
All operators,Super Off Peak,2009,132.813535995304,8.28818924426565,32.813535995303994
All operators,Super Off Peak,2010,133.854544665523,0.7838121787946539,33.85454466552301
All operators,Super Off Peak,2011,140.046205719573,4.6256636780781575,40.04620571957301
All operators,Super Off Peak,2012,148.424351403919,5.98241533306678,48.42435140391899
All operators,Super Off Peak,2013,155.276131516285,4.616344991611061,55.276131516285005
All operators,Super Off Peak,2014,159.796079384298,2.910909631683444,59.796079384298
All operators,Super Off Peak,2015,162.352846380341,1.600018602392713,62.35284638034099
All operators,Super Off Peak,2016,163.54248945949,0.7327515997853632,63.542489459490014
All operators,Super Off Peak,2017,166.662544378014,1.9077946831039427,66.66254437801399
All operators,Super Off Peak,2018,172.710102862688,3.628624840238422,72.71010286268799
All operators,Super Off Peak,2019,177.833689611756,2.9665819567842444,77.833689611756
All operators,Super Off Peak,2020,182.767569463343,2.774434845477576,82.767569463343
All operators,Super Off Peak,2021,186.712889575176,2.15865436270646,86.712889575176
All operators,Super Off Peak,2022,193.519935327662,3.6457288877987675,93.51993532766201
All operators,Super Off Peak,2023,204.994279279645,5.929282651193013,104.99427927964501
All operators,Super Off Peak,2024,216.48548775225035,5.605623977891348,116.48548775225035
All operators,Super Off Peak,2025,229.1783088408346,5.8631279262054425,129.1783088408346
London and South East,Advance,2004,100,NA,0
London and South East,Advance,2005,104.805528105863,4.805528105863004,4.805528105863004
London and South East,Advance,2006,113.673718766893,8.46156764943957,13.673718766893003
London and South East,Advance,2007,128.020154266536,12.620714493437804,28.020154266535997
London and South East,Advance,2008,135.456898962816,5.809042130035891,35.45689896281601
London and South East,Advance,2009,106.482146996439,-21.3903848295913,6.482146996438999
London and South East,Advance,2010,107.914904576021,1.3455378389674253,7.9149045760210015
London and South East,Advance,2011,116.027777603581,7.517842933220462,16.027777603581
London and South East,Advance,2012,119.556442066419,3.04122386528335,19.556442066418995
London and South East,Advance,2013,129.159094258146,8.031898595972194,29.159094258146013
London and South East,Advance,2014,130.296585899484,0.8806903206246716,30.296585899484
London and South East,Advance,2015,134.415455099105,3.161148982674391,34.415455099105
London and South East,Advance,2016,137.703624924841,2.4462736247938244,37.703624924840994
London and South East,Advance,2017,137.177733927846,-0.3819006197418806,37.17773392784599
London and South East,Advance,2018,144.159844759533,5.0898280878145465,44.159844759533
London and South East,Advance,2019,144.471410706946,0.21612533499373363,44.47141070694599
London and South East,Advance,2020,144.828420491162,0.247114486159616,44.82842049116201
London and South East,Advance,2021,133.853099283875,-7.578154322242828,33.853099283875
London and South East,Advance,2022,148.410588460535,10.875720662833924,48.410588460534996
London and South East,Advance,2023,161.54481154597707,8.84992319057794,61.54481154597707
London and South East,Advance,2024,165.8885080547665,2.6888492841215026,65.8885080547665
London and South East,Advance,2025,181.91900190167337,9.663414322597049,81.91900190167337
London and South East,All tickets,2004,100,NA,0
London and South East,All tickets,2005,104.809789336962,4.809789336961998,4.809789336961998
London and South East,All tickets,2006,109.617259686888,4.5868524117246885,9.617259686888005
